Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Total,State - CHANDIGARH,Sikh,10-14,9661,5578,4083,129,77,52,64,41,23,29,22,7,9468,5460,4008,146,88,58
Total,State - CHANDIGARH,Sikh,15-19,12486,6962,5524,564,427,137,191,123,68,96,67,29,11731,6412,5319,1181,651,530
Total,State - CHANDIGARH,Sikh,20-24,14781,7444,7337,3354,2408,946,449,227,222,258,131,127,10978,4809,6169,2623,1254,1369
Total,State - CHANDIGARH,Sikh,25-29,12119,6047,6072,6297,4565,1732,331,184,147,169,106,63,5491,1298,4193,1481,523,958
Total,State - CHANDIGARH,Sikh,30-34,10186,5021,5165,5951,4544,1407,216,114,102,72,41,31,4019,363,3656,591,145,446
Total,State - CHANDIGARH,Sikh,35-39,10284,5046,5238,6361,4786,1575,178,79,99,56,32,24,3745,181,3564,400,58,342
Total,State - CHANDIGARH,Sikh,40-49,19499,9441,10058,11840,8972,2868,263,131,132,76,39,37,7396,338,7058,346,73,273
Total,State - CHANDIGARH,Sikh,50-59,16207,8306,7901,9264,7252,2012,171,99,72,26,17,9,6772,955,5817,146,54,92
Total,State - CHANDIGARH,Sikh,60-69,9941,5051,4890,1943,1678,265,109,73,36,16,12,4,7889,3300,4589,78,57,21
Total,State - CHANDIGARH,Sikh,70-79,5248,2698,2550,559,496,63,44,22,22,1,0,1,4645,2180,2465,19,10,9
Total,State - CHANDIGARH,Sikh,80+,2535,1321,1214,183,141,42,19,16,3,1,1,0,2333,1164,1169,8,2,6
Total,State - CHANDIGARH,Sikh,Age not stated,39,24,15,11,8,3,3,1,2,1,1,0,25,15,10,3,2,1
Total,State - CHANDIGARH,Sikh,15-59,95562,48267,47295,43631,32954,10677,1799,957,842,753,433,320,50132,14356,35776,6768,2758,4010
Total,State - CHANDIGARH,Sikh,60+,17724,9070,8654,2685,2315,370,172,111,61,18,13,5,14867,6644,8223,105,69,36
Total,State - CHANDIGARH,Buddhist,Total,1160,593,567,329,255,74,20,11,9,13,6,7,811,327,484,97,26,71
Total,State - CHANDIGARH,Buddhist,5-9,50,24,26,1,1,0,0,0,0,0,0,0,49,23,26,1,0,1
Total,State - CHANDIGARH,Buddhist,10-14,59,41,18,1,0,1,0,0,0,0,0,0,58,41,17,0,0,0
Total,State - CHANDIGARH,Buddhist,15-19,147,69,78,13,12,1,1,1,0,0,0,0,133,56,77,12,0,12
Total,State - CHANDIGARH,Buddhist,20-24,327,151,176,38,30,8,9,5,4,7,3,4,280,116,164,45,13,32
Total,State - CHANDIGARH,Buddhist,25-29,135,78,57,46,36,10,4,2,2,3,1,2,85,40,45,21,9,12
Total,State - CHANDIGARH,Buddhist,30-34,61,31,30,38,24,14,2,1,1,2,1,1,21,6,15,2,1,1
Total,State - CHANDIGARH,Buddhist,35-39,61,31,30,37,31,6,1,0,1,0,0,0,23,0,23,6,0,6
Total,State - CHANDIGARH,Buddhist,40-49,140,66,74,90,66,24,1,0,1,0,0,0,49,0,49,4,0,4
Total,State - CHANDIGARH,Buddhist,50-59,83,53,30,58,48,10,1,1,0,0,0,0,24,4,20,4,2,2
Total,State - CHANDIGARH,Buddhist,60-69,28,14,14,6,6,0,1,1,0,1,1,0,21,7,14,1,1,0
Total,State - CHANDIGARH,Buddhist,70-79,10,6,4,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0
Total,State - CHANDIGARH,Buddhist,80+,12,7,5,1,1,0,0,0,0,0,0,0,11,6,5,0,0,0
Total,State - CHANDIGARH,Buddhist,Age not stated,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Total,State - CHANDIGARH,Buddhist,15-59,954,479,475,320,247,73,19,10,9,12,5,7,615,222,393,94,25,69
Total,State - CHANDIGARH,Buddhist,60+,50,27,23,7,7,0,1,1,0,1,1,0,42,19,23,1,1,0
Total,State - CHANDIGARH,Jain,Total,1960,997,963,719,556,163,32,11,21,12,4,8,1209,430,779,98,33,65
Total,State - CHANDIGARH,Jain,5-9,103,50,53,0,0,0,0,0,0,0,0,0,103,50,53,3,1,2
Total,State - CHANDIGARH,Jain,10-14,138,76,62,2,2,0,3,1,2,0,0,0,133,73,60,4,3,1
Total,State - CHANDIGARH,Jain,15-19,176,91,85,3,3,0,5,1,4,1,0,1,168,87,81,18,9,9
Total,State - CHANDIGARH,Jain,20-24,186,98,88,35,26,9,7,5,2,5,3,2,144,67,77,32,12,20
Total,State - CHANDIGARH,Jain,25-29,171,77,94,100,65,35,4,2,2,2,0,2,67,10,57,15,4,11
Total,State - CHANDIGARH,Jain,30-34,159,85,74,105,80,25,3,1,2,2,1,1,51,4,47,12,1,11
Total,State - CHANDIGARH,Jain,35-39,131,63,68,79,61,18,1,0,1,0,0,0,51,2,49,5,1,4
Total,State - CHANDIGARH,Jain,40-49,280,139,141,179,137,42,6,0,6,2,0,2,95,2,93,4,1,3
Total,State - CHANDIGARH,Jain,50-59,259,130,129,151,124,27,2,1,1,0,0,0,106,5,101,4,0,4
Total,State - CHANDIGARH,Jain,60-69,131,68,63,43,38,5,1,0,1,0,0,0,87,30,57,1,1,0
Total,State - CHANDIGARH,Jain,70-79,90,48,42,14,13,1,0,0,0,0,0,0,76,35,41,0,0,0
Total,State - CHANDIGARH,Jain,80+,29,15,14,8,7,1,0,0,0,0,0,0,21,8,13,0,0,0
Total,State - CHANDIGARH,Jain,Age not stated,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Total,State - CHANDIGARH,Jain,15-59,1362,683,679,652,496,156,28,10,18,12,4,8,682,177,505,90,28,62
Total,State - CHANDIGARH,Jain,60+,250,131,119,65,58,7,1,0,1,0,0,0,184,73,111,1,1,0
Total,State - CHANDIGARH,Other religious communities,Total,246,152,94,110,92,18,3,2,1,2,1,1,133,58,75,9,3,6
Total,State - CHANDIGARH,Other religious communities,5-9,18,12,6,0,0,0,0,0,0,0,0,0,18,12,6,0,0,0
Total,State - CHANDIGARH,Other religious communities,10-14,17,8,9,2,2,0,0,0,0,0,0,0,15,6,9,1,0,1
Total,State - CHANDIGARH,Other religious communities,15-19,27,22,5,11,9,2,0,0,0,0,0,0,16,13,3,3,2,1
Total,State - CHANDIGARH,Other religious communities,20-24,38,26,12,19,17,2,2,2,0,1,1,0,17,7,10,2,1,1
Total,State - CHANDIGARH,Other religious communities,25-29,31,18,13,18,17,1,1,0,1,1,0,1,12,1,11,1,0,1
Total,State - CHANDIGARH,Other religious communities,30-34,22,14,8,17,14,3,0,0,0,0,0,0,5,0,5,0,0,0
Total,State - CHANDIGARH,Other religious communities,35-39,17,11,6,13,11,2,0,0,0,0,0,0,4,0,4,0,0,0
Total,State - CHANDIGARH,Other religious communities,40-49,25,13,12,20,13,7,0,0,0,0,0,0,5,0,5,1,0,1
Total,State - CHANDIGARH,Other religious communities,50-59,16,10,6,7,7,0,0,0,0,0,0,0,9,3,6,0,0,0
Total,State - CHANDIGARH,Other religious communities,60-69,9,3,6,3,2,1,0,0,0,0,0,0,6,1,5,1,0,1
Total,State - CHANDIGARH,Other religious communities,70-79,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
Total,State - CHANDIGARH,Other religious communities,80+,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Total,State - CHANDIGARH,Other religious communities,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,State - CHANDIGARH,Other religious communities,15-59,176,114,62,105,88,17,3,2,1,2,1,1,68,24,44,7,3,4
Total,State - CHANDIGARH,Other religious communities,60+,14,6,8,3,2,1,0,0,0,0,0,0,11,4,7,1,0,1
Rural,State - CHANDIGARH,All religious communities,Total,28991,17150,11841,11683,10356,1327,667,308,359,173,103,70,16641,6486,10155,970,371,599
Rural,State - CHANDIGARH,All religious communities,5-9,2921,1572,1349,15,12,3,6,4,2,2,1,1,2900,1556,1344,9,5,4
Rural,State - CHANDIGARH,All religious communities,10-14,2537,1421,1116,106,69,37,28,14,14,2,2,0,2403,1338,1065,38,28,10
Rural,State - CHANDIGARH,All religious communities,15-19,2765,1787,978,878,775,103,105,67,38,29,24,5,1782,945,837,158,107,51
Rural,State - CHANDIGARH,All religious communities,20-24,3593,2255,1338,1936,1785,151,127,72,55,44,29,15,1530,398,1132,287,133,154
Rural,State - CHANDIGARH,All religious communities,25-29,3806,2260,1546,2350,2135,215,101,35,66,32,17,15,1355,90,1265,212,43,169
Rural,State - CHANDIGARH,All religious communities,30-34,3101,1902,1199,2115,1831,284,90,35,55,22,12,10,896,36,860,114,16,98
Rural,State - CHANDIGARH,All religious communities,35-39,2321,1455,866,1615,1414,201,70,20,50,14,5,9,636,21,615,69,9,60
Rural,State - CHANDIGARH,All religious communities,40-49,2596,1585,1011,1764,1519,245,70,19,51,11,0,11,762,47,715,44,8,36
Rural,State - CHANDIGARH,All religious communities,50-59,1226,687,539,675,606,69,34,15,19,11,7,4,517,66,451,18,7,11
Rural,State - CHANDIGARH,All religious communities,60-69,736,417,319,180,164,16,29,22,7,6,6,0,527,231,296,18,13,5
Rural,State - CHANDIGARH,All religious communities,70-79,256,139,117,35,34,1,4,3,1,0,0,0,217,102,115,2,2,0
Rural,State - CHANDIGARH,All religious communities,80+,106,55,51,13,11,2,3,2,1,0,0,0,90,42,48,1,0,1
Rural,State - CHANDIGARH,All religious communities,Age not stated,6,4,2,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0
Rural,State - CHANDIGARH,All religious communities,15-59,19408,11931,7477,11333,10065,1268,597,263,334,163,94,69,7478,1603,5875,902,323,579
Rural,State - CHANDIGARH,All religious communities,60+,1098,611,487,228,209,19,36,27,9,6,6,0,834,375,459,21,15,6
Rural,State - CHANDIGARH,Hindu,Total,23207,13981,9226,9749,8643,1106,480,228,252,132,75,57,12978,5110,7868,750,263,487
Rural,State - CHANDIGARH,Hindu,5-9,2447,1320,1127,14,11,3,6,4,2,2,1,1,2427,1305,1122,9,5,4
Rural,State - CHANDIGARH,Hindu,10-14,2050,1151,899,97,62,35,24,11,13,1,1,0,1929,1078,851,30,21,9
Rural,State - CHANDIGARH,Hindu,15-19,2180,1455,725,794,694,100,77,49,28,16,12,4,1309,712,597,107,74,33
Rural,State - CHANDIGARH,Hindu,20-24,2951,1886,1065,1664,1538,126,94,58,36,32,22,10,1193,290,903,215,96,119
Rural,State - CHANDIGARH,Hindu,25-29,3183,1924,1259,2006,1830,176,76,27,49,28,14,14,1101,67,1034,181,28,153
Rural,State - CHANDIGARH,Hindu,30-34,2579,1616,963,1807,1567,240,65,25,40,18,10,8,707,24,683,92,11,81
Rural,State - CHANDIGARH,Hindu,35-39,1838,1189,649,1336,1166,170,45,12,33,10,3,7,457,11,446,50,5,45
Rural,State - CHANDIGARH,Hindu,40-49,1940,1222,718,1372,1183,189,48,14,34,9,0,9,520,25,495,35,6,29
Rural,State - CHANDIGARH,Hindu,50-59,866,504,362,508,455,53,22,11,11,11,7,4,336,38,298,15,5,10
Rural,State - CHANDIGARH,Hindu,60-69,476,263,213,121,109,12,19,14,5,5,5,0,336,140,196,14,10,4
Rural,State - CHANDIGARH,Hindu,70-79,139,78,61,19,19,0,3,2,1,0,0,0,117,57,60,2,2,0
Rural,State - CHANDIGARH,Hindu,80+,59,32,27,10,8,2,1,1,0,0,0,0,48,23,25,0,0,0
Rural,State - CHANDIGARH,Hindu,Age not stated,4,3,1,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0
Rural,State - CHANDIGARH,Hindu,15-59,15537,9796,5741,9487,8433,1054,427,196,231,124,68,56,5623,1167,4456,695,225,470
Rural,State - CHANDIGARH,Hindu,60+,674,373,301,150,136,14,23,17,6,5,5,0,501,220,281,16,12,4
Rural,State - CHANDIGARH,Muslim,Total,1321,805,516,552,503,49,23,13,10,8,8,0,746,289,457,38,9,29
Rural,State - CHANDIGARH,Muslim,5-9,148,84,64,1,1,0,0,0,0,0,0,0,147,83,64,0,0,0
Rural,State - CHANDIGARH,Muslim,10-14,129,68,61,7,5,2,3,2,1,0,0,0,119,61,58,3,2,1
Rural,State - CHANDIGARH,Muslim,15-19,134,87,47,52,50,2,9,8,1,6,6,0,73,29,44,9,3,6
Rural,State - CHANDIGARH,Muslim,20-24,196,129,67,127,118,9,2,1,1,1,1,0,67,10,57,11,3,8
Rural,State - CHANDIGARH,Muslim,25-29,170,103,67,113,100,13,3,2,1,1,1,0,54,1,53,4,1,3
Rural,State - CHANDIGARH,Muslim,30-34,116,73,43,84,73,11,3,0,3,0,0,0,29,0,29,6,0,6
Rural,State - CHANDIGARH,Muslim,35-39,101,68,33,74,67,7,2,0,2,0,0,0,25,1,24,3,0,3
Rural,State - CHANDIGARH,Muslim,40-49,95,60,35,62,58,4,1,0,1,0,0,0,32,2,30,2,0,2
Rural,State - CHANDIGARH,Muslim,50-59,31,19,12,20,19,1,0,0,0,0,0,0,11,0,11,0,0,0
Rural,State - CHANDIGARH,Muslim,60-69,18,11,7,8,8,0,0,0,0,0,0,0,10,3,7,0,0,0
Rural,State - CHANDIGARH,Muslim,70-79,12,9,3,4,4,0,0,0,0,0,0,0,8,5,3,0,0,0
Rural,State - CHANDIGARH,Muslim,80+,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Rural,State - CHANDIGARH,Muslim,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Muslim,15-59,843,539,304,532,485,47,20,11,9,8,8,0,291,43,248,35,7,28
Rural,State - CHANDIGARH,Muslim,60+,32,21,11,12,12,0,0,0,0,0,0,0,20,9,11,0,0,0
Rural,State - CHANDIGARH,Christian,Total,156,82,74,61,41,20,2,2,0,2,2,0,93,39,54,9,7,2
Rural,State - CHANDIGARH,Christian,5-9,14,5,9,0,0,0,0,0,0,0,0,0,14,5,9,0,0,0
Rural,State - CHANDIGARH,Christian,10-14,12,7,5,0,0,0,0,0,0,0,0,0,12,7,5,0,0,0
Rural,State - CHANDIGARH,Christian,15-19,11,5,6,0,0,0,0,0,0,0,0,0,11,5,6,0,0,0
Rural,State - CHANDIGARH,Christian,20-24,19,11,8,7,3,4,1,1,0,1,1,0,11,7,4,3,2,1
Rural,State - CHANDIGARH,Christian,25-29,19,10,9,9,7,2,1,1,0,1,1,0,9,2,7,2,2,0
Rural,State - CHANDIGARH,Christian,30-34,21,12,9,16,11,5,0,0,0,0,0,0,5,1,4,2,1,1
Rural,State - CHANDIGARH,Christian,35-39,5,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Christian,40-49,26,12,14,19,12,7,0,0,0,0,0,0,7,0,7,0,0,0
Rural,State - CHANDIGARH,Christian,50-59,11,6,5,5,4,1,0,0,0,0,0,0,6,2,4,1,1,0
Rural,State - CHANDIGARH,Christian,60-69,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
Rural,State - CHANDIGARH,Christian,70-79,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Christian,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Christian,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Christian,15-59,112,60,52,61,41,20,2,2,0,2,2,0,49,17,32,8,6,2
Rural,State - CHANDIGARH,Christian,60+,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0
Rural,State - CHANDIGARH,Sikh,Total,4258,2251,2007,1299,1151,148,162,65,97,31,18,13,2797,1035,1762,173,92,81
Rural,State - CHANDIGARH,Sikh,5-9,308,159,149,0,0,0,0,0,0,0,0,0,308,159,149,0,0,0
Rural,State - CHANDIGARH,Sikh,10-14,339,190,149,0,0,0,1,1,0,1,1,0,338,189,149,5,5,0
Rural,State - CHANDIGARH,Sikh,15-19,434,235,199,28,27,1,19,10,9,7,6,1,387,198,189,42,30,12
Rural,State - CHANDIGARH,Sikh,20-24,418,223,195,134,122,12,30,12,18,10,5,5,254,89,165,58,32,26
Rural,State - CHANDIGARH,Sikh,25-29,429,220,209,219,195,24,21,5,16,2,1,1,189,20,169,25,12,13
Rural,State - CHANDIGARH,Sikh,30-34,378,199,179,202,178,24,22,10,12,4,2,2,154,11,143,14,4,10
Rural,State - CHANDIGARH,Sikh,35-39,372,191,181,197,174,23,23,8,15,4,2,2,152,9,143,16,4,12
Rural,State - CHANDIGARH,Sikh,40-49,534,291,243,311,266,45,21,5,16,2,0,2,202,20,182,7,2,5
Rural,State - CHANDIGARH,Sikh,50-59,318,158,160,142,128,14,12,4,8,0,0,0,164,26,138,2,1,1
Rural,State - CHANDIGARH,Sikh,60-69,240,141,99,51,47,4,10,8,2,1,1,0,179,86,93,3,2,1
Rural,State - CHANDIGARH,Sikh,70-79,104,52,52,12,11,1,1,1,0,0,0,0,91,40,51,0,0,0
Rural,State - CHANDIGARH,Sikh,80+,44,21,23,3,3,0,2,1,1,0,0,0,39,17,22,1,0,1
Rural,State - CHANDIGARH,Sikh,Age not stated,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Rural,State - CHANDIGARH,Sikh,15-59,2883,1517,1366,1233,1090,143,148,54,94,29,16,13,1502,373,1129,164,85,79
Rural,State - CHANDIGARH,Sikh,60+,388,214,174,66,61,5,13,10,3,1,1,0,309,143,166,4,2,2
Rural,State - CHANDIGARH,Buddhist,Total,8,3,5,3,1,2,0,0,0,0,0,0,5,2,3,0,0,0
Rural,State - CHANDIGARH,Buddhist,5-9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,15-19,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,20-24,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Buddhist,25-29,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Buddhist,30-34,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,35-39,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Buddhist,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Buddhist,15-59,7,2,5,3,1,2,0,0,0,0,0,0,4,1,3,0,0,0
Rural,State - CHANDIGARH,Buddhist,60+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,Total,13,7,6,6,4,2,0,0,0,0,0,0,7,3,4,0,0,0
Rural,State - CHANDIGARH,Jain,5-9,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Rural,State - CHANDIGARH,Jain,10-14,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Rural,State - CHANDIGARH,Jain,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,30-34,5,2,3,4,2,2,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Jain,35-39,3,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Jain,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Jain,15-59,8,4,4,6,4,2,0,0,0,0,0,0,2,0,2,0,0,0
Rural,State - CHANDIGARH,Jain,60+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,Total,16,14,2,13,13,0,0,0,0,0,0,0,3,1,2,0,0,0
Rural,State - CHANDIGARH,Other religious communities,5-9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,10-14,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,15-19,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,20-24,5,4,1,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Other religious communities,25-29,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,35-39,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - CHANDIGARH,Other religious communities,15-59,12,11,1,11,11,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - CHANDIGARH,Other religious communities,60+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,State - CHANDIGARH,All religious communities,Total,1026459,563513,462946,374246,306834,67412,17540,10661,6879,7913,5106,2807,634673,246018,388655,47606,19289,28317
Urban,State - CHANDIGARH,All religious communities,5-9,88273,47683,40590,893,544,349,452,235,217,175,95,80,86928,46904,40024,736,410,326
Urban,State - CHANDIGARH,All religious communities,10-14,90927,50719,40208,2121,1381,740,701,402,299,271,161,110,88105,48936,39169,1426,859,567
Urban,State - CHANDIGARH,All religious communities,15-19,101653,58734,42919,15000,12738,2262,2107,1463,644,1077,757,320,84546,44533,40013,9765,5587,4178
Urban,State - CHANDIGARH,All religious communities,20-24,117651,66212,51439,43849,37127,6722,3700,2443,1257,2149,1413,736,70102,26642,43460,16214,7776,8438
Urban,State - CHANDIGARH,All religious communities,25-29,106431,58434,47997,61332,50309,11023,2883,1791,1092,1493,944,549,42216,6334,35882,9229,2731,6498
Urban,State - CHANDIGARH,All religious communities,30-34,87702,47723,39979,54626,44953,9673,1971,1104,867,858,536,322,31105,1666,29439,3920,680,3240
Urban,State - CHANDIGARH,All religious communities,35-39,81351,44111,37240,52212,42388,9824,1646,830,816,664,395,269,27493,893,26600,2749,290,2459
Urban,State - CHANDIGARH,All religious communities,40-49,126677,68576,58101,81637,65761,15876,2228,1222,1006,785,498,287,42812,1593,41219,2222,330,1892
Urban,State - CHANDIGARH,All religious communities,50-59,80641,45166,35475,49850,40716,9134,1048,632,416,263,179,84,29743,3818,25925,754,267,487
Urban,State - CHANDIGARH,All religious communities,60-69,40904,21363,19541,9707,8342,1365,565,381,184,145,107,38,30632,12640,17992,458,287,171
Urban,State - CHANDIGARH,All religious communities,70-79,17551,9114,8437,2196,1924,272,170,110,60,21,13,8,15185,7080,8105,88,51,37
Urban,State - CHANDIGARH,All religious communities,80+,7525,3745,3780,708,566,142,58,42,16,8,6,2,6759,3137,3622,34,14,20
Urban,State - CHANDIGARH,All religious communities,Age not stated,340,197,143,115,85,30,11,6,5,4,2,2,214,106,108,11,7,4
Urban,State - CHANDIGARH,All religious communities,15-59,702106,388956,313150,358506,293992,64514,15583,9485,6098,7289,4722,2567,328017,85479,242538,44853,17661,27192
Urban,State - CHANDIGARH,All religious communities,60+,65980,34222,31758,12611,10832,1779,793,533,260,174,126,48,52576,22857,29719,580,352,228
Urban,State - CHANDIGARH,Hindu,Total,829367,458788,370579,306537,252963,53574,14359,8705,5654,6518,4200,2318,508471,197120,311351,38001,15210,22791
Urban,State - CHANDIGARH,Hindu,5-9,73935,39860,34075,749,452,297,374,192,182,145,79,66,72812,39216,33596,603,338,265
Urban,State - CHANDIGARH,Hindu,10-14,75119,41796,33323,1820,1165,655,593,329,264,225,124,101,72706,40302,32404,1185,714,471
Urban,State - CHANDIGARH,Hindu,15-19,82341,47669,34672,12739,10773,1966,1726,1195,531,884,619,265,67876,35701,32175,7902,4506,3396
Urban,State - CHANDIGARH,Hindu,20-24,95099,54009,41090,36837,31409,5428,2998,2009,989,1756,1178,578,55264,20591,34673,12802,6133,6669
